idx,平台,昵称,频道链接,地区,粉丝数,是否游戏,类目,置信度,AI 判断理由,阶段
2424,Youtube,Umair live,https://www.youtube.com/@Umairlive297,巴基斯坦,1180,是,Casual,低,"Live stream channel, genre unclear.",A
2310,Youtube,TwinSis Gamer,https://www.youtube.com/@TwinsSisterGaming,巴基斯坦,1170,是,Casual,低,"Generic gaming handle, no specific game indicated.",A
2430,Youtube,MAli World16,https://www.youtube.com/@maliworld16,巴基斯坦,1120,是,Casual,低,"World/world-building, gaming unclear.",A
2429,Youtube,Rare Op,https://www.youtube.com/@Rareop,巴基斯坦,1060,是,Casual,低,Rare/op suggests gaming but unclear.,A
2314,Youtube,SHENRON Gaming ,https://www.youtube.com/@Shenron.,巴基斯坦,657,是,Casual,低,"Generic gaming handle, no specific game indicated.",A
2337,Youtube,Trick 4U,https://www.youtube.com/@Trick4U503,巴基斯坦,645,是,Casual,低,"Generic tricks/tips channel, no specific game indicated.",A
2323,Youtube,My Way To Play,https://www.youtube.com/@ehsanelahi5021,巴基斯坦,630,是,Casual,低,"Generic gaming name, no specific game indicated.",A
2423,Youtube,NonCenzo,https://www.youtube.com/@noncenzo9414,巴基斯坦,613,是,Casual,低,"Unclear name, insufficient gaming signal.",A
2348,Youtube,Ahmed Zainali Gaming ,https://www.youtube.com/@AhmedZainaliGaming,巴基斯坦,502,是,Casual,低,"Generic gaming channel, no specific game indicated.",A
1490,Youtube,Booth\u0026Mushi,https://www.youtube.com/@BoothMushi,美国,10000,是,Casual,低,"Generic handle, insufficient gaming signal.",A
350,Youtube,Missing Number,https://www.youtube.com/@MissingNumber,美国,6900,是,Casual,低,"Name suggests puzzle/number game content, unclear gaming focus.",A
355,Youtube,NervyDestroyer,https://www.youtube.com/@nervydestroyer,美国,6380,是,FPS,低,"Name 'NervyDestroyer' suggests competitive gaming, likely FPS.",A
1458,Youtube,Bampha,https://www.youtube.com/@Bampha,美国,5260,是,Casual,低,"Generic name, insufficient gaming signal.",A
1498,Youtube,hippo kazuya,https://www.youtube.com/@hippo_kazuya,美国,5130,是,Casual,低,"Generic anime-style handle, insufficient gaming signal.",A
314,Youtube,ConjuredLion,https://www.youtube.com/@conjuredlion,美国,3980,是,RPG,低,Fantasy-themed name suggests RPG interest.,A
1462,Youtube,Midwest Geek,https://www.youtube.com/@midwestgeeks,美国,2980,是,Casual,低,"Geek culture interest, possibly gaming-related.",A
1645,Youtube,Trippster,https://www.youtube.com/@TrippPlaysGames,美国,2950,是,FPS,低,Plays Games in handle suggests gaming.,A
357,Youtube,AceXpro,https://www.youtube.com/@AceXproGaming,美国,2540,是,FPS,低,"Handle 'AceXproGaming' suggests competitive gaming, possibly FPS.",A
1469,Youtube,Bruhxston,https://www.youtube.com/@Bruhxston,美国,2170,是,Casual,低,"Generic handle, insufficient gaming signal.",A
1638,Youtube,Junior Dynamic VS Gaming,https://www.youtube.com/@JuniorDynamic,美国,2010,是,FPS,低,Junior Dynamic suggests gaming but very unclear.,A
496,Youtube,BLASCO,https://www.youtube.com/@BlascoTheGamer,美国,1650,是,FPS,低,BlascoTheGamer suggests gaming but no specific game type.,A
1476,Youtube,Wh0ze,https://www.youtube.com/@Wh0ze,美国,1650,是,Casual,低,"Generic handle, insufficient gaming signal.",A
1454,Youtube,Venger Satanis,https://www.youtube.com/@VengerSatanis,美国,1290,是,RPG,低,Venger Satanis suggests fantasy/RPG interest but unclear if gaming.,A
1473,Youtube,Purple5boo,https://www.youtube.com/@purple5boo,美国,1200,是,Casual,低,"Generic handle, unclear gaming focus.",A
1623,Youtube,D71 Gaming,https://www.youtube.com/@D71Gaming,美国,689,是,FPS,低,D71 Gaming suggests gaming but very unclear.,A
376,Youtube,Data Smash,https://www.youtube.com/@DataSmashOfficial,美国,675,是,Esports,低,Name 'Data Smash' suggests esports analysis or gaming data.,A
2044,Youtube,@ChrolloXYZ | SUBSCRIBE FOR DAILY FUNNY CONTENT,https://www.youtube.com/@ChrolloXYZ,英国,2290,是,Casual,低,"Funny content focus, possibly casual gaming or entertainment.",A
1962,Youtube,wobblebox adventures,https://www.youtube.com/@wobbleboxadventures,英国,1880,是,Casual,低,Adventures suggests exploration/casual gameplay.,A
2140,Youtube,MattRPD,https://www.youtube.com/@MattRPD,英国,1820,是,RPG,低,RPD could indicate RPG but uncertain.,A
1876,Youtube,DH Business Club - бізнес ком'юніті аффілейт ринку,https://www.youtube.com/@DHBClub,乌克兰,9000,否,Other,高,"Business/affiliate marketing community, not gaming.",A
1868,Youtube,Ganger Baster,https://www.youtube.com/@gangerbaster,乌克兰,7060,否,Other,高,"Music producer creating dance/car bass rhythms, not gaming.",B-confirmed-other
1870,Youtube,Yana Violin,https://www.youtube.com/@yanaviolin8095,乌克兰,4700,否,Other,高,"Violin music channel, not gaming-focused.",A
1869,Youtube,ANASTASIIA LEVCHENKO  LevaNassa,https://www.youtube.com/@avlevanassa,乌克兰,2960,否,Other,高,Personal name channel; likely lifestyle/vlog content.,A
1881,Youtube,craftydrafty_studio,https://www.youtube.com/@craftydrafty_studio,乌克兰,2930,否,Other,高,"Art/craft studio channel, not gaming-related.",B-confirmed-other
1882,Youtube,Mr.Vladislav,https://www.youtube.com/@MrVladislav23,乌克兰,1190,否,Other,高,"Positive lifestyle/entertainment content channel, not gaming.",B-confirmed-other
1883,Youtube,Aarif Food Unbox,https://www.youtube.com/@Aariffoodunbox,伊拉克,1020,否,Other,高,"Food unboxing channel, not gaming-focused.",A
1764,Youtube,GAME ADS,https://www.youtube.com/@game-ads,加拿大,9850,否,Other,高,"Game ads suggests marketing/advertising, not gameplay content.",A
1789,Youtube,Witness Tv,https://www.youtube.com/@WitnessTv,加拿大,9360,否,Other,高,Generic TV channel name; not gaming-focused.,A
1787,Youtube,BANDIT,https://www.youtube.com/@banditgirlgroup,加拿大,8800,否,Other,高,"Girl group suggests music/entertainment, not gaming.",A
1763,Youtube,theAPEcoach,https://www.youtube.com/@theAPEcoach,加拿大,7480,否,Other,高,"APE coach suggests fitness/coaching, not gaming.",A
1767,Youtube,Witchy TQ,https://www.youtube.com/@WitchyTQ,加拿大,6240,否,Other,高,"Witchy suggests lifestyle/spiritual content, not gaming.",A
1713,Youtube,Morgan's Art \u0026 Stuff,https://www.youtube.com/@morgansartstuff,加拿大,4670,否,Other,高,Art & Stuff clearly non-gaming creative content.,A
1695,Youtube,Social Growth Max,https://www.youtube.com/@socialgrowthmax,加拿大,4090,否,Other,高,"Social media growth, not gaming",A
1736,Youtube,henrychungfitness,https://www.youtube.com/@henrychungfitness,加拿大,3960,否,Other,高,Fitness focus clearly non-gaming content.,A
1765,Youtube,Kimberly G,https://www.youtube.com/@gymmik_,加拿大,3640,否,Other,高,Gym-related handle suggests fitness content.,A
1699,Youtube,Pinay Eatz,https://www.youtube.com/@pinayeatz,加拿大,3630,否,Other,高,"Food/cooking channel, not gaming",A
1788,Youtube,The Pilling Family,https://www.youtube.com/@ThePillingFamily,加拿大,3020,否,Other,高,Family channel; gaming likely secondary if present.,A
1742,Youtube,Localization fireside chat,https://www.youtube.com/@L10NFiresideChat,加拿大,1790,否,Other,高,"Localization fireside chat is professional/tech, not gaming.",A
1793,Youtube,STEFLAB TECH,https://www.youtube.com/@STEFLABTECH,加拿大,1590,否,Other,高,"Tech lab suggests technology content, not gaming.",A
1694,Youtube,blueminitour,https://www.youtube.com/@blueminitour541,加拿大,1210,否,Other,高,"Tour/travel content, not gaming",A
1725,Youtube,"Singing Toad - Knives, Gear \u0026 Outdoorz",https://www.youtube.com/@singingtoad,加拿大,1200,否,Other,高,"Knives, Gear & Outdoorz clearly non-gaming lifestyle.",A
1696,Youtube,Virtual 4K TourOnTo,https://www.youtube.com/@Virtual4KTourOnTo,加拿大,1190,否,Other,高,"4K tours/travel, not gaming",A
1792,Youtube,LifeWithNicola,https://www.youtube.com/@LifeWithNicolatv,加拿大,1190,否,Other,高,Lifestyle channel; not gaming-focused.,A
1760,Youtube,Mr. Ghi BEATZ,https://www.youtube.com/@m.ghi_beatz,加拿大,1050,否,Other,高,"BEATZ suggests music content, not gaming.",A
1751,Youtube,WELD,https://www.youtube.com/@therealweldtool,加拿大,874,否,Other,高,"Handle suggests tool/welding content, not gaming.",A
1786,Youtube,Leigh Dickey TV,https://www.youtube.com/@LeighDickeyTV,加拿大,800,否,Other,高,TV personality name; not gaming-focused.,A
1720,Youtube,Beauty By Saba Sadegh,https://www.youtube.com/@BeautyWellnessProject1,加拿大,553,否,Other,高,Beauty & Wellness clearly non-gaming lifestyle content.,A
1850,Youtube,動區動趨 BlockTempo Official,https://www.youtube.com/@blocktempo,台湾,8670,否,Other,高,"Blockchain/crypto news channel, not gaming-focused.",A
1857,Youtube,ASUS Singapore,https://www.youtube.com/@sgasus,台湾,7240,否,Other,高,"ASUS official tech brand channel, not gaming-focused.",A
1861,Youtube,UgPhone Cloud Phone,https://www.youtube.com/@ugphone,台湾,6760,否,Other,高,"Cloud phone service provider, not gaming-focused.",A
1855,Youtube,Linlin Piano 五分鐘鋼琴,https://www.youtube.com/@LinlinPiano,台湾,6430,否,Other,高,"Piano music channel, not gaming content.",A
1845,Youtube,CHIH小池,https://www.youtube.com/@chih,台湾,6400,否,Other,高,"Character costume styling content, not gaming-related.",B-confirmed-other
1849,Youtube,韭菜 JoeTsaiBox,https://www.youtube.com/@JoeTsaiBox,台湾,4180,否,Other,高,"Unboxing, DIY assembly, and tech testing channel, not gaming.",B-confirmed-other
1865,Youtube,咖啡樂's,https://www.youtube.com/@coffee0530,台湾,4000,否,Other,高,"Coffee-themed channel, not gaming-focused.",A
1853,Youtube,力力安,https://www.youtube.com/@liliann618,台湾,1110,否,Other,高,"Twitch streamer with lifestyle/entertainment focus, not gaming-specific.",B-confirmed-other
1854,Youtube,下班ほlife,https://www.youtube.com/@offworklife666,台湾,1090,否,Other,高,"Lifestyle/work-life content, not gaming-focused.",A
1846,Youtube,Jean Wu主兒的推理樂園,https://www.youtube.com/@jeanwumystery,台湾,882,否,Other,高,"Mystery writer channel focused on storytelling, not gaming.",B-confirmed-other
1848,Youtube,Taiwan Eats Ride Deliver,https://www.youtube.com/@capemana,台湾,811,否,Other,高,Food delivery/lifestyle content about Uber Eats rider in Taiwan.,B-confirmed-other
2270,Youtube,MSK Artist ,https://www.youtube.com/@mskartist26700,巴基斯坦,9900,否,Other,高,"MSK Artist suggests art/creative content, not gaming.",A
2469,Youtube,Cric Bridge,https://www.youtube.com/@cricbridge,巴基斯坦,9460,否,Other,高,"Cricket bridge, sports content, not gaming.",A
2472,Youtube,MultaniVloger786,https://www.youtube.com/@MultaniVloger786,巴基斯坦,7730,否,Other,高,Vloger suggests lifestyle/vlog content.,A
2253,Youtube,Baby laughing Entertainment,https://www.youtube.com/@BabyLaughingEntertainment1,巴基斯坦,7670,否,Other,高,Baby entertainment content; not gaming-focused.,A
2406,Youtube,F'M Data Source ,https://www.youtube.com/@FMDatasource,巴基斯坦,7620,否,Other,高,"Data source/tech channel, not gaming.",A
2354,Youtube,TechTalk with Ishfaq,https://www.youtube.com/@TechTalkwithIshfaq,巴基斯坦,7460,否,Other,高,Tech talk channel; explicitly non-gaming focused.,A
2456,Youtube,Diy Gemstone Creation by Sehr,https://www.youtube.com/@Diygemstonecreationbysehr,巴基斯坦,7310,否,Other,高,"DIY gemstone creation, crafts channel, not gaming.",A
2246,Youtube,Dur e Fishan Zahra,https://www.youtube.com/@DureFishanZahra,巴基斯坦,7060,否,Other,高,"Personal vlog, not gaming-focused.",A
2377,Youtube,Tech Bunch,https://www.youtube.com/@TechBunch.,巴基斯坦,6710,否,Other,高,Tech bunch; explicitly non-gaming focused.,A
2366,Youtube,Satellite Tips,https://www.youtube.com/@satellitetips,巴基斯坦,6320,否,Other,高,Satellite tips suggests tech/tutorial; non-gaming.,A
2514,Youtube,We Help Creators,https://www.youtube.com/@WeHelpCreators,巴基斯坦,6300,否,Other,高,"Creator support channel, not gaming-focused.",A
2401,Youtube,Gadgets Pk,https://www.youtube.com/@gadgetspk,巴基斯坦,5830,否,Other,高,"Gadgets/tech channel, not primarily gaming.",A
2379,Youtube,Karachi Info,https://www.youtube.com/@karachiinfo389,巴基斯坦,5730,否,Other,高,Karachi info; local news/info; non-gaming.,A
2277,Youtube,KH COMPUTERS,https://www.youtube.com/@khcomputers,巴基斯坦,5690,否,Other,高,"KH Computers is tech/computer sales, not gaming.",A
2450,Youtube,Tech TV Official,https://www.youtube.com/@techtv20,巴基斯坦,5470,否,Other,高,"Tech channel, not gaming-focused.",A
2437,Youtube,Towards Technology,https://www.youtube.com/@towardstechnology,巴基斯坦,4760,否,Other,高,"Technology education, not gaming.",A
2492,Youtube,House of Martial Arts Pak,https://www.youtube.com/@HMAPK,巴基斯坦,4730,否,Other,高,"Martial arts channel, sports, not gaming.",A
2470,Youtube,Kehkasha creative channel,https://www.youtube.com/@kehkashacreative,巴基斯坦,4670,否,Other,高,"Creative channel suggests arts/crafts, not gaming.",A
2510,Youtube,PC CITY,https://www.youtube.com/@pccity8625,巴基斯坦,4330,否,Other,高,"PC City suggests tech/hardware, not gaming content.",A
2490,Youtube,life with Rasheeda ,https://www.youtube.com/@lifewithRasheeda439,巴基斯坦,4240,否,Other,高,"Lifestyle vlog, not gaming-focused.",A
2283,Youtube,Muslim Voice ,https://www.youtube.com/@Muslimvoice49,巴基斯坦,4140,否,Other,高,"Muslim Voice is religious/cultural content, not gaming.",A
2466,Youtube,Quiz Point,https://www.youtube.com/@quizpoint9611,巴基斯坦,4070,否,Other,高,Quiz Point suggests trivia/educational content.,A
2390,Youtube,Sabah Memon vlogs,https://www.youtube.com/@karachikivlogs,巴基斯坦,4010,否,Other,高,Karachi vlogs; travel/lifestyle; non-gaming.,A
2394,Youtube,Tech \u0026 Sports,https://www.youtube.com/@technsports0342,巴基斯坦,4000,否,Other,高,Tech and sports; non-gaming focused.,A
2415,Youtube,Swift Techniques,https://www.youtube.com/@SwiftTechniques,巴基斯坦,3810,否,Other,高,"Techniques channel, likely tech not gaming.",A
2501,Youtube,Abdullah vlogs,https://www.youtube.com/@Abdullah-abc,巴基斯坦,3770,否,Other,高,"Vlogs channel, not gaming-focused.",A
2486,Youtube,Shahbaz Speaks 2m,https://www.youtube.com/@islam177,巴基斯坦,3700,否,Other,高,Speaks suggests commentary/educational content.,A
2328,Youtube,Techno Wajahat,https://www.youtube.com/@technowajahat4706,巴基斯坦,3560,否,Other,高,"Techno prefix suggests tech channel, not gaming-focused.",A
2523,Youtube,Pakistani Unboxing,https://www.youtube.com/@PakistaniUnboxing,巴基斯坦,3540,否,Other,高,"Unboxing channel, tech/product focused not gaming.",A
2256,Youtube,7Vision Technologies,https://www.youtube.com/@7VisionTech,巴基斯坦,3290,否,Other,高,Tech company name; not gaming-focused.,A
2503,Youtube,Dangerous Technical Mind,https://www.youtube.com/@DangerousTechnicalMind,巴基斯坦,3030,否,Other,高,"Technical content channel, not primarily gaming.",A
2438,Youtube,Unbox With Umer,https://www.youtube.com/@UnboxWithUmer,巴基斯坦,3010,否,Other,高,"Unboxing tech channel, not gaming.",A
2477,Youtube,Unique Fitness World,https://www.youtube.com/@uniquefitnessworld,巴基斯坦,2790,否,Other,高,"Fitness channel, not gaming-focused.",A
2262,Youtube,Tech Spon Sarkar,https://www.youtube.com/@techsponsarkar2693,巴基斯坦,2680,否,Other,高,Tech channel; not gaming-focused.,A
2293,Youtube,Zippy Zap  Reaction,https://www.youtube.com/@ZippyZapReaction,巴基斯坦,2640,否,Other,高,"Zippy Zap Reaction is reaction content, not gaming.",A
2316,Youtube,Ahmed Reaction ,https://www.youtube.com/@AhmedReaction.794K,巴基斯坦,2490,否,Other,高,"Reaction channel, primarily reaction content not gaming.",A
2517,Youtube,Nabeel Munir,https://www.youtube.com/@NMDesigner,巴基斯坦,2470,否,Other,高,"Designer handle, not gaming-focused.",A
2498,Youtube,Life With Hafeez,https://www.youtube.com/@LifeWithHafeez,巴基斯坦,2240,否,Other,高,"Lifestyle vlog, not gaming-focused.",A
2284,Youtube,Turi Academy,https://www.youtube.com/@turiacademy5035,巴基斯坦,2180,否,Other,高,"Turi Academy is educational institution, not gaming.",A
2485,Youtube,Chanab Sports,https://www.youtube.com/@Chanabsports,巴基斯坦,2180,否,Other,高,"Sports channel, not gaming-focused.",A
2441,Youtube,The Studios,https://www.youtube.com/@TheStudios,巴基斯坦,2160,否,Other,高,"Studios/production, not gaming-focused.",A
2463,Youtube,Wisdom Weavers,https://www.youtube.com/@Wisdom_Weavers,巴基斯坦,2150,否,Other,高,Wisdom Weavers suggests educational/lifestyle content.,A
2519,Youtube,ATTIQ MUGHAL,https://www.youtube.com/@explore_skills,巴基斯坦,2150,否,Other,高,"Skills exploration channel, not gaming-focused.",A
2446,Youtube,Tech Revealer,https://www.youtube.com/@TechRevealer_,巴基斯坦,2140,否,Other,高,"Tech revealer, not gaming-focused.",A
2307,Youtube,WildLens by Ayaz,https://www.youtube.com/@Wildlens336,巴基斯坦,2110,否,Other,高,"WildLens suggests nature/wildlife content, not gaming.",A
2494,Youtube,Sajjid Raza Vlogs,https://www.youtube.com/@sajjidrazavlogs5,巴基斯坦,2070,否,Other,高,"Vlogs channel, lifestyle content, not gaming.",A
2369,Youtube,Knowledge ki Duniya,https://www.youtube.com/@KnowledgkiDuniya,巴基斯坦,1990,否,Other,高,Knowledge channel; explicitly non-gaming focused.,A
2412,Youtube,Tech Boss TV,https://www.youtube.com/@TeCkWDRaZa,巴基斯坦,1970,否,Other,高,"Tech channel, not gaming-focused.",A
2496,Youtube,WR_ARTISTRY,https://www.youtube.com/@WR_ARTISTRY,巴基斯坦,1900,否,Other,高,Artistry suggests creative/art content.,A
2386,Youtube,Simrah and Sameer ,https://www.youtube.com/@SimrahAfridi,巴基斯坦,1810,否,Other,高,Personal vlog channel; non-gaming focused.,A
2282,Youtube,Geeky Academy,https://www.youtube.com/@GeekyAcademyOfficial,巴基斯坦,1640,否,Other,高,"Geeky Academy suggests tech/educational, not gaming.",A
2505,Youtube,Technical Faizan Almas,https://www.youtube.com/@technicalfaizanalmas,巴基斯坦,1640,否,Other,高,"Technical channel name, not gaming-focused.",A
2244,Youtube,Techno Saad,https://www.youtube.com/@technosaad8919,巴基斯坦,1630,否,Other,高,"Techno Saad suggests tech, not gaming.",A
2274,Youtube,Riffi Baker \u0026 customized bouquet ,https://www.youtube.com/@RiffiBakerCustomizedBouquet,巴基斯坦,1620,否,Other,高,"Baking and bouquet content; lifestyle, not gaming.",A
2520,Youtube,AFt Techzone,https://www.youtube.com/@AfTechzone101,巴基斯坦,1570,否,Other,高,"Tech zone channel, not gaming-focused.",A
2285,Youtube,BITS Computer College Shahkot,https://www.youtube.com/@bitscomputercollege,巴基斯坦,1560,否,Other,高,"Computer college; educational institution, not gaming.",A
2495,Youtube,Health and Lifestyle Vlogs with Dr FAREEHA ANMOL,https://www.youtube.com/@fareehaanmol_Pharmacist,巴基斯坦,1500,否,Other,高,"Health and lifestyle with pharmacist, not gaming.",A
2273,Youtube,Khyyam Solo Travel,https://www.youtube.com/@khyyamsolotravel,巴基斯坦,1420,否,Other,高,"Solo travel channel; lifestyle content, not gaming.",A
2422,Youtube,Zovari laptop \u0026 Accessories ,https://www.youtube.com/@zovari_laptop,巴基斯坦,1330,否,Other,高,"Laptop accessories retail, not gaming.",A
2391,Youtube,Sheikh Asad Naseem,https://www.youtube.com/@SheikhAsadNaseem,巴基斯坦,1310,否,Other,高,Religious/personal channel; non-gaming focused.,A
2384,Youtube,Fashionly,https://www.youtube.com/@Fashionly786,巴基斯坦,1290,否,Other,高,Fashion channel; explicitly non-gaming focused.,A
2480,Youtube,Fatima Crunch ,https://www.youtube.com/@fatimacrunch,巴基斯坦,1250,否,Other,高,Crunch suggests food/lifestyle content.,A
2375,Youtube,Aleyar \u0026 Mama,https://www.youtube.com/@explorewithanum9867,巴基斯坦,1240,否,Other,高,Explore/travel vlog; non-gaming focused.,A
2281,Youtube,Tahaa Mathematician,https://www.youtube.com/@mathematician786,巴基斯坦,1230,否,Other,高,"Mathematician suggests educational content, not gaming.",A
2389,Youtube,Food and Fun Challenge,https://www.youtube.com/@FoodandFunChallenge,巴基斯坦,1200,否,Other,高,Food and fun challenge; lifestyle; non-gaming.,A
2271,Youtube,funny and moral story,https://www.youtube.com/@funnyandmoralstory,巴基斯坦,1190,否,Other,高,"Funny and moral story; entertainment/story content, not gaming.",A
2305,Youtube,Jawad Shah Vlogs 2.0,https://www.youtube.com/@jawadshahvlogs2.0,巴基斯坦,1180,否,Other,高,"Vlogs channel, primarily lifestyle/vlog content not gaming.",A
2421,Youtube,The Robotians,https://www.youtube.com/@robotians9745,巴基斯坦,1180,否,Other,高,"Robotics/tech channel, not gaming.",A
2478,Youtube,MK's DECA discoveries ,https://www.youtube.com/@mudassarramzan-wc7yl,巴基斯坦,1170,否,Other,高,DECA discoveries suggests educational/science content.,A
2444,Youtube,Awsum Calligraphy,https://www.youtube.com/@AwsumCalligraphy,巴基斯坦,1160,否,Other,高,"Calligraphy art channel, not gaming.",A
2399,Youtube,Nadi in china,https://www.youtube.com/@nadiinchina,巴基斯坦,1150,否,Other,高,Travel vlog channel; non-gaming focused.,A
2417,Youtube,Fight boxing ,https://www.youtube.com/@Gameplay001,巴基斯坦,1140,否,Other,高,"Boxing/fighting sports, not gaming.",A
2287,Youtube,Shahid Tech,https://www.youtube.com/@shahidtech9578,巴基斯坦,1120,否,Other,高,"Shahid Tech is tech channel, not gaming-focused.",A
2439,Youtube,Adnan Sami,https://www.youtube.com/@iamadnan9,巴基斯坦,1120,否,Other,高,"Music artist name, not gaming.",A
2497,Youtube,Aesthetic Handicrafts,https://www.youtube.com/@aesthetichandicrafts,巴基斯坦,1070,否,Other,高,"Handicrafts channel, crafts, not gaming.",A
2381,Youtube,Taste and Routine with Sajida Zafar,https://www.youtube.com/@tasteandroutine1501,巴基斯坦,1060,否,Other,高,Taste and routine; lifestyle/food; non-gaming.,A
2395,Youtube,Imee Technical Lab,https://www.youtube.com/@imee_Tecnical,巴基斯坦,1060,否,Other,高,Technical lab; tech tutorials; non-gaming.,A
2518,Youtube,Smart Gadgets,https://www.youtube.com/@smartgadgets9427,巴基斯坦,1060,否,Other,高,"Gadgets channel, tech-focused not gaming.",A
2279,Youtube,Tech Zone,https://www.youtube.com/@techzone555,巴基斯坦,1040,否,Other,高,"Tech Zone is tech channel, not gaming-focused.",A
2404,Youtube,Code With Edraak,https://www.youtube.com/@codewithedraak,巴基斯坦,1030,否,Other,高,Coding/programming education channel.,A
2382,Youtube,US Fitness \u0026 Fun,https://www.youtube.com/@USFitnessandFun,巴基斯坦,977,否,Other,高,Fitness and fun; sports/fitness; non-gaming.,A
2249,Youtube,GADGET AND KITCHEN,https://www.youtube.com/@gadgetandkitchen,巴基斯坦,972,否,Other,高,"Gadget and kitchen, lifestyle not gaming.",A
2459,Youtube,TECHNICA FIVE,https://www.youtube.com/@TECHNICAFIVE,巴基斯坦,966,否,Other,高,"Tech channel, not gaming-focused.",A
2473,Youtube,Duzz • Flicks ,https://www.youtube.com/@DuzzExplain,巴基斯坦,965,否,Other,高,Duzz Flicks suggests entertainment/film content.,A
2387,Youtube,FACTS..009,https://www.youtube.com/@FACTS009zh,巴基斯坦,959,否,Other,高,Facts channel; educational/informational; non-gaming.,A
2428,Youtube,K-EXPERT,https://www.youtube.com/@PAKKEXPERT,巴基斯坦,926,否,Other,高,"Expert/tech channel, not gaming-focused.",A
2493,Youtube,Funflix ,https://www.youtube.com/@OriginalFunflix,巴基斯坦,881,否,Other,高,Funflix suggests entertainment/film content.,A
2275,Youtube,Z Arts,https://www.youtube.com/@z.artsoriginal,巴基斯坦,856,否,Other,高,"Z Arts suggests art/creative content, not gaming.",A
2403,Youtube,1Gigabyte1,https://www.youtube.com/@1Gigabyte1,巴基斯坦,854,否,Other,高,"Tech/storage-focused name, not gaming.",A
2392,Youtube,Fancy Bag House ,https://www.youtube.com/@USEntertainment1-x7s,巴基斯坦,847,否,Other,高,Fancy bag house; fashion/shopping; non-gaming.,A
2467,Youtube,UW Records,https://www.youtube.com/@UWRecords786,巴基斯坦,834,否,Other,高,"Records label, music/entertainment, not gaming.",A
2393,Youtube,Hani’s Glow Guide,https://www.youtube.com/@Hanisglowguide,巴基斯坦,829,否,Other,高,Beauty/glow guide; lifestyle; non-gaming.,A
2400,Youtube,Technical Baloch,https://www.youtube.com/@technicalbaloch78,巴基斯坦,829,否,Other,高,"Technical content creator, not gaming-focused.",A
2372,Youtube,Bloom Media Entertainment,https://www.youtube.com/@bloommediapakistan,巴基斯坦,744,否,Other,高,Entertainment media; non-gaming focused.,A
2380,Youtube,Baking with Moin,https://www.youtube.com/@moinsajjad6597,巴基斯坦,741,否,Other,高,Baking channel; explicitly non-gaming focused.,A
2516,Youtube,Audee Reacts,https://www.youtube.com/@AudeeReacts,巴基斯坦,665,否,Other,高,"Reaction channel, not primarily gaming.",A
2416,Youtube,Doctor China Walay,https://www.youtube.com/@doctorchinawalay111,巴基斯坦,661,否,Other,高,"Medical/doctor content, not gaming.",A
2396,Youtube,See the changing world,https://www.youtube.com/@IslamicHistoryVideos-Chanel,巴基斯坦,659,否,Other,高,Islamic history videos; educational; non-gaming.,A
2488,Youtube,Sardar Tailor channel ,https://www.youtube.com/@SardarYasirNadeem,巴基斯坦,582,否,Other,高,"Tailor channel, fashion/crafts, not gaming.",A
2483,Youtube,Super kidz Tv,https://www.youtube.com/@SuperkidzTv3679,巴基斯坦,570,否,Other,高,Super Kidz TV suggests children's entertainment.,A
2489,Youtube,Magic Creator,https://www.youtube.com/@mcreator786,巴基斯坦,514,否,Other,高,Magic Creator suggests entertainment/magic content.,A
2272,Youtube,BiteSized Info,https://www.youtube.com/@BiteSizedInfo.1001,巴基斯坦,503,否,Other,高,BiteSized Info suggests educational/informational content.,A
67,Youtube,Tristan \u0026 Mom’s Vlog  ,https://www.youtube.com/@TraVlogFoodEmpire,德国,9420,否,Other,高,"Tristan & Mom's Vlog is family food content, not gaming",A
25,Youtube,Warp Dust,https://www.youtube.com/@warpdust666,德国,8610,否,Other,高,"Warhammer 40K hobby channel, tabletop gaming not video game focused.",B-confirmed-other
2,Youtube,Friedrich Bader,https://www.youtube.com/@FriedrichBader,德国,7440,否,Other,高,"Drawing channel, explicitly states 'channel of Drawing', non-gaming.",B-confirmed-other
80,Youtube,Leon Technik,https://www.youtube.com/@LeonTechnik,德国,5690,否,Other,高,"Leon Technik is tech channel, not gaming",A
58,Youtube,IT-Service Wagner,https://www.youtube.com/@it-servicewagner,德国,5580,否,Other,高,"IT service company, not gaming content",A
3,Youtube,GTFE,https://www.youtube.com/@theGTFE,德国,4190,否,Other,高,"Gaming and Tech channel with focus on hardware, not game-specific content.",B-confirmed-other
28,Youtube,Stefan Ruhnau,https://www.youtube.com/@stefanruhnau,德国,3120,否,Other,高,"Consulting/business channel, About page indicates non-gaming focus.",B-confirmed-other
5,Youtube,Joey Renninghoff - CineVLOG Germany,https://www.youtube.com/@joeyrenninghoff,德国,3000,否,Other,高,"CineVLOG Germany indicates film/video content, not gaming.",A
24,Youtube,Review Radar,https://www.youtube.com/@Review-Radar-Official,德国,2880,否,Other,高,"Review and how-to guides for business tools, non-gaming content.",B-confirmed-other
41,Youtube,Boardgamepanther Brettspiele - Der Brettspielkanal,https://www.youtube.com/@Boardgamepanther,德国,2880,否,Other,高,"Boardgamepanther Brettspiele focuses on board games, not video gaming.",A
10,Youtube,New Horizons MTG,https://www.youtube.com/@NewHorizons-Lazel,德国,2790,否,Other,高,"New Horizons MTG indicates Magic: The Gathering card game, not video gaming.",A
